# Obtained from SDSS, fits file spec-1922-53315-0582.fits, url=
#Ang,e-17 erg/s/cm2/Ang,e-17 erg/s/cm2/Ang
wavelength,flux,fluxerr
4445.29,11.051696,1.0426587
4446.3125,11.668576,1.0613846
4447.3354,12.587981,1.079889
4448.3613,13.513905,1.0710182
4449.3843,12.229047,1.0756102
4450.4106,12.762861,1.1334543
4451.434,11.379502,1.1649244
4452.461,11.447589,1.1623466
4453.485,11.406867,1.0971143
4454.51,12.441921,1.0574828
4455.5366,13.536927,1.0543534
4456.5615,10.02526,1.0121182
4457.5894,11.136572,1.0097146
4458.6147,10.861504,1.0160828
4459.643,11.774417,1.0198567
4460.669,13.412606,1.037554
4461.6953,12.575785,1.0436748
4462.724,11.70573,1.0503135
4463.7505,11.947575,1.0568274
4464.78,12.126061,1.0525916
4465.807,9.85024,1.0210177
4466.837,11.412117,1.0235275
4467.8643,12.082476,1.0304027
4468.892,11.11571,1.0399305
4469.923,10.597467,1.0366569
4470.951,10.081654,1.0310633
4471.982,11.381601,1.0410073
4473.0107,11.718955,1.0436388
4474.0425,11.555026,1.0553653
4475.072,12.000765,1.0939184
4476.101,12.448615,1.1166785
4477.1333,11.602794,1.0859168
4478.163,10.09083,1.0631648
4479.196,10.308792,1.0524658
4480.2266,9.942974,1.017021
4481.2593,11.169852,1.0037303
4482.2905,11.798601,1.0211586
4483.3213,12.137045,1.0370414
4484.3555,10.760674,1.0080221
4485.387,8.974432,0.98656297
4486.4214,7.277874,0.9923247
4487.4536,4.6184173,0.95993114
4488.4883,5.151985,0.98689693
4489.521,8.1228895,1.0184767
4490.5537,9.888124,1.0426632
4491.589,10.15437,1.0606179
4492.6226,10.817002,1.0947158
4493.658,11.779211,1.1045305
4494.692,10.882526,1.0851362
4495.7285,9.920109,1.044522
4496.7627,11.680388,1.011361
4497.8,13.005361,1.0238156
4498.8345,10.6297455,1.0169127
4499.8696,10.644768,1.0191168
4500.907,11.423062,1.0369104
4501.9424,9.302727,1.0351375
4502.9805,9.420335,1.0282533
4504.0166,11.108366,1.0405031
4505.055,12.296716,1.0771819
4506.0913,12.341846,1.1322412
4507.128,11.005275,1.1782159
4508.1675,9.628153,1.1736128
4509.2046,9.8801,1.1578612
4510.2446,12.235623,1.1167662
4511.282,11.045816,1.0305148
4512.3223,9.522615,0.99770904
4513.3604,9.992398,0.9945745
4514.3984,11.058891,1.0096474
4515.4395,10.337748,1.0020771
4516.4785,11.808403,1.0146576
4517.52,10.490014,0.9914684
4518.559,10.100991,0.97903776
4519.601,9.804898,0.98233473
4520.6406,9.903035,0.99147964
4521.6807,10.132407,1.0156089
4522.7236,11.015773,1.0351746
4523.764,12.862759,1.0643494
4524.807,9.925089,1.0600111
4525.848,10.978837,1.0648334
4526.8916,11.110216,1.0405788
4527.933,9.980819,0.9695077
4528.9746,11.06726,0.9584814
4530.019,10.36069,0.97407913
4531.061,10.237517,1.0377398
4532.106,10.274138,1.1071296
4533.149,11.374818,1.1234612
4534.194,11.179115,1.0568619
4535.2373,10.545966,1.0021112
4536.2803,11.515848,1.000567
4537.3267,11.2960825,1.0184463
4538.37,10.075609,1.0462053
4539.417,11.177081,1.0580556
4540.461,12.0678835,1.0703471
4541.5083,11.762826,1.1014897
4542.5527,11.489725,1.1359259
4543.598,12.773694,1.1389608
4544.6455,12.947065,1.1118397
4545.691,12.172681,1.085789
4546.7393,11.007627,1.0756594
4547.785,11.576607,1.0925007
4548.834,10.991205,1.0710868
4549.8804,10.120333,1.0212859
4550.9272,10.899902,0.99665844
4551.9766,11.798353,1.0108876
4553.024,11.5288515,1.0453228
4554.0737,10.561627,1.0398042
4555.1216,9.890023,1.0194008
4556.172,10.928298,1.0252248
4557.2197,12.238606,1.0332848
4558.2686,11.110223,1.0159317
4559.3193,11.244044,1.0289913
4560.368,11.121283,1.0223318
4561.42,9.372515,0.9808111
4562.469,10.796629,1.0109627
4563.5215,10.571868,1.0106976
4564.5713,10.334762,1.0122827
4565.621,9.767588,0.99195814
4566.6743,11.883719,1.0213426
4567.7246,10.449294,1.0597498
4568.778,10.610495,1.1073376
4569.829,11.273197,1.1074622
4570.883,10.237012,1.0887448
4571.934,12.006072,1.0516154
4572.989,11.372693,0.99028474
4574.0405,10.5557375,0.9997149
4575.093,9.965931,1.0046273
4576.148,12.482093,1.0271735
4577.2007,10.071847,0.99237895
4578.256,11.284575,1.0238708
4579.309,9.739588,1.0136341
4580.365,10.460148,0.99605966
4581.419,10.346249,0.9853393
4582.473,10.449419,0.9826455
4583.53,10.1442375,0.9670021
4584.584,10.382731,0.9903066
4585.641,11.260559,1.0213983
4586.6963,12.4389105,1.0337994
4587.754,10.933261,1.0293465
4588.809,9.585621,1.0326605
4589.8647,12.122379,1.0479516
4590.9233,10.348924,1.0410484
4591.9795,13.235472,1.0473033
4593.0386,10.954057,1.039598
4594.095,10.897967,1.0466263
4595.1543,7.714347,1.0066416
4596.2114,11.817811,1.0315164
